OID_,fd_id,bid,cbfips,st_damcat,occtype,bldgtype,number_of_story,sqft,foundation,FFE,med_yr_blt,BRV,val_cont,val_vehic,ftprntid,ftprntsrc,source,students,pop2amu65,pop2amo65,pop2pmu65,pop2pmo65,o65disable,u65disable,y_column,x_column,flood_zone,grnd_elv_m,DEM,R10,R50,R100,R500
20410,487415542,76X6MGG9+385-4-4-5-3,4.82E+14,RES,RES1-1SNB,W,1,3316,no_basement,0.5,1964,341047.443,170523.721,27000,48201_1312402,Bing,P,0,3,1,2,1,0.24,0.03,29.67512546,-95.48162979,A/AE,16.49155617,54.10615714,54.68945,56.1956,57.00259,58.49393
20411,487415543,76X6MGF9+GHV-4-3-3-5,4.82E+14,RES,RES1-1SNB,W,1,2965,no_basement,0.5,1964,318045.216,159022.608,27000,48201_1312403,Bing,P,0,2,0,1,0,0.24,0.03,29.67387078,-95.48108818,A/AE,16.61364174,54.50670036,54.70085,56.20095,57.0028,58.48634
20412,487415544,76X6MGF9+JHC-5-4-3-5,4.82E+14,RES,RES1-1SNB,W,1,3265,no_basement,0.5,1964,337687.424,168843.712,27000,48201_1312404,Bing,P,0,3,1,1,1,0.24,0.03,29.67407105,-95.48111485,A/AE,16.58875465,54.42504982,54.70088,56.20096,57.0028,58.48632
20413,487415545,76X6MGF9+QHV-3-3-4-6,4.82E+14,RES,RES1-1SNB,W,1,2416,no_basement,0.5,1964,280177.412,140088.706,27000,48201_1312406,Bing,P,0,2,0,1,0,0.24,0.03,29.67448591,-95.48109357,A/AE,16.43432808,53.91840094,54.70094,56.20099,57.0028,58.48628
20414,487415546,76X6MGF9+H99-2-3-4-3,4.82E+14,RES,RES1-1SNB,W,1,2277,no_basement,0.5,1964,271547.08,135773.54,27000,48201_1312407,Bing,P,0,2,0,1,0,0.24,0.03,29.6739004,-95.48153017,A/AE,16.58508301,54.41300374,54.69078,56.19623,57.00262,58.49305
20415,487415547,76X6MGF9+PH3-3-3-3-3,4.82E+14,RES,RES1-1SNB,W,1,2066,no_basement,0.5,1964,257077.656,128538.828,27000,48201_1312408,Bing,P,0,3,1,1,1,0.24,0.03,29.67425894,-95.481064,A/AE,16.5922718,54.43658903,54.7009,56.20097,57.0028,58.4863
20416,487415548,76X6MGF9+XG7-5-5-7-4,4.82E+14,RES,RES1-1SNB,W,1,2475,no_basement,0.5,1964,284539.55,142269.775,27000,48201_1312409,Bing,P,0,3,1,1,1,0.24,0.03,29.67490182,-95.481196,A/AE,16.29140663,53.44949853,54.69713,56.1992,57.00273,58.48882
20417,487415549,76X6MGF9+JCJ-4-5-4-4,4.82E+14,RES,RES1-1SNB,W,1,4602,no_basement,1.5,1964,343572.747,171786.373,27000,48201_1312410,Bing,P,0,3,1,1,1,0.24,0.03,29.67408644,-95.48148962,A/AE,16.50608444,54.15382208,54.69283,56.19718,57.00266,58.49169
20418,487415550,76X6MGF9+P9H-4-5-4-3,4.82E+14,RES,RES1-1SNB,W,1,2748,no_basement,0.5,1964,303184.41,151592.205,27000,48201_1312411,Bing,P,0,3,0,1,0,0.24,0.03,29.67430481,-95.48150285,A/AE,16.46497917,54.01896227,54.69291,56.19722,57.00266,58.49163
20927,487416066,76X6MGQC+F58-2-1-1-1,4.82E+14,RES,RES1-3SNB,S,2,2534,no_basement,0.5,1960,304725.501,152362.75,27000,48201_1312582,Bing,P,0,2,0,1,0,0.24,0.03,29.68867274,-95.47953956,A/AE,16.64803696,54.61954557,54.60208,56.08975,56.89854,58.39027
33184,487428311,76X6MGF7+Q2P-3-3-4-3,4.82E+14,RES,RES1-1SNB,W,1,2473,no_basement,0.5,1964,284393.617,142196.808,27000,48201_1318316,Bing,P,0,2,0,1,0,0.24,0.03,29.67446063,-95.48742059,A/AE,16.67445564,54.70622105,55.22066,56.91651,57.68861,59.22186
33185,487428312,76X6MGF6+GCC-4-3-3-2,4.82E+14,RES,RES1-2SNB,W,2,3375,no_basement,1.5,1964,344542.612,172271.306,27000,48201_1318317,Bing,P,0,2,0,1,0,0.24,0.03,29.673822,-95.4889695,A/AE,16.81410408,55.16438523,55.29246,56.98957,57.75237,59.25829
33192,487428319,76X6MGF7+P7H-5-4-6-4,4.82E+14,RES,RES1-1SNB,W,1,2343,no_basement,0.5,1964,275624.585,137812.292,27000,48201_1318325,Bing,P,0,2,1,1,1,0.24,0.03,29.67430942,-95.48676528,A/AE,16.70427322,54.80404776,55.18695,56.88221,57.65868,59.20475
33197,487428324,76X6MGF7+P6J-4-4-4-4,4.82E+14,RES,RES1-1SNB,W,1,2039,no_basement,0.5,1964,255068.482,127534.241,27000,48201_1318330,Bing,P,0,2,1,1,1,0.24,0.03,29.67434944,-95.48698738,A/AE,16.72269249,54.86447843,55.19724,56.89268,57.66782,59.20997
33200,487428327,76X6MGF6+J8V-3-4-4-4,4.82E+14,RES,RES1-1SNB,W,1,2225,no_basement,0.5,1964,268183.978,134091.989,27000,48201_1318334,Bing,P,0,2,0,1,0,0.24,0.03,29.67410045,-95.48920087,A/AE,16.74711609,54.94460835,55.30581,57.00316,57.76422,59.26507
